id,experiencia,categoria,ubicacion,pais,duracion,precio,disponibilidad
1,Cena gourmet en un restaurante de lujo,Gastronomía,Buenos Aires,Argentina,2 horas,150,Todo el año
2,Escapada de fin de semana a la playa,Aventura,Viña del Mar,Argentina,2 días,300,Verano
3,Clase de cocina internacional,Culinaria,Córdoba,Argentina,3 horas,75,Todo el año
4,Trekking en la montaña,Aventura,Mendoza,Argentina,1 día,100,Primavera
5,Tour enológico por viñedos,Cultural,San Juan,Argentina,6 horas,120,Todo el año
6,Cata de vinos en el Valle del Maipo,Cultural,Santiago,Chile,3 horas,200,Todo el año
7,Día de spa en Santiago,Bienestar,Santiago,Chile,1 día,150,Todo el año
8,Paseo por el desierto de Atacama,Aventura,San Pedro,Chile,5 horas,200,Todo el año
9,Tour por el Parque Nacional Torres del Paine,Aventura,Puerto Natales,Chile,3 días,400,Todo el año
10,Clase de surf en Pichilemu,Aventura,Pichilemu,Chile,2 horas,100,Verano
11,Clase de cata de vinos,Cultural,Montevideo,Uruguay,1 día,75,Todo el año
12,Día de campo en la rural,Aventura,Durazno,Uruguay,1 día,80,Otoño
13,Excursión a Colonia del Sacramento,Cultural,Colonia del Sacramento,Uruguay,3 horas,100,Todo el año
14,Taller de arte en Montevideo,Cultural,Montevideo,Uruguay,2 horas,90,Todo el año
15,Clase de cocina uruguaya,Culinaria,Montevideo,Uruguay,3 horas,150,Primavera
16,Clase de cocina peruana,Culinaria,Lima,Perú,3 horas,50,Todo el año
17,Tour a Machu Picchu,Aventura,Cusco,Perú,4 días,600,Todo el año
18,Cata de pisco en Ica,Cultural,Ica,Perú,3 horas,80,Todo el año
19,Recorrido gastronómico en Lima,Culinaria,Lima,Perú,1 día,100,Todo el año
20,Trekking por el Valle Sagrado,Aventura,Cusco,Perú,3 días,200,Primavera
